STP0 2 273.025 35.6 34.8 2.2 -0.5 0.15 0.65 X
STP2 2 1003.77 35.3 34.6 0.7 -1.3 -0.35 -1.05 X
STP4 2 1670.47 35.3 34.3 -1.6 -0.7 0.75 0.6 X
SRP1 1 2022.83 32.9 17.8 0.43 -0.27 0.2 0.05 HV
SRP2 1 2737.54 32.9 17.8 0 0 0 -0.3 HV
SRP3 1 3452.24 32.9 17.8 0 2 -0.3 -3 HV
SRP4 1 4166.95 32.9 17.8 1.2 4 0.05 -0.05 HV
SRP5 1 4881.66 32.9 17.8 0 2 0.15 0.3 HV
SRP6 1 5596.36 32.9 17.8 0 0 0.3 0.1 HV
SRP7 1 6311.07 32.9 17.8 0 0 -0.05 0.35 HV
SRP8 1 7025.77 32.9 17.8 0 0 0.6 0.55 HV
SRP9 1 7740.48 32.9 17.8 0 0 0 0 HV
SIP1 2 8757.31 35.1 34.5 -1.2 -1.8 -0.3 0 X
SIP2 6 9167.13 14.5 24.2 -4.9 -0.2 0.45 0.35 X
SRP10 1 9884.51 32.9 17.8 0 0 0.4 0.4 HV
SRP11 1 10599.2 32.9 17.8 0 0 -0.45 0.25 HV
SRP12 1 11313.9 32.9 17.8 4.611 -2.08 0.4 0.05 HV
SRP13 1 12028.6 32.9 17.8 0 0 -0.4 0.25 HV
SRP14 1 12743.3 32.9 17.8 0 0 -0.45 0.4 HV
SRP15 1 13458 32.9 17.8 0 0 0 -0.35 HV
SRP16 1 14172.7 32.9 17.8 0 0 -0.2 0.55 HV
SRP17 1 14887.5 32.9 17.8 0 0 0.4 0.15 HV
SEP5 2 15257.3 35.2 34.6 2 7.1 -0.2 -0.65 X
SEP4 2 15838.3 35.5 34.2 -1.4 -0.9 -0.35 -0.15 X
SEP3 4 16668.7 54.3 40.2 -3 0.5 -0.55 -1.55 X
SEP1 5 17395.6 56.3 41.7 -1.4 -0.4 -0.45 -1.45 X
SEP0 3 17964.8 43 -42 1.9 -1.4 0.55 -0.8 X
NEP0 3 18642.8 -42.4 42.7 2.1 -1.5 -0.4 1.6 X
NEP1 5 19211.9 55.4 41.2 -0.5 -2.2 -0.45 -0.75 X
NEP3 4 19938.8 54 40 4.1 3.5 -0.2 -0.8 X
NEP4 2 20769.2 35.3 34.6 3.2 1.8 0 -0.55 X
NEP5 2 21350.2 -35.2 34.7 2.9 -2.2 -0.1 1 X
NRP17 1 21720 32.9 -17.8 0 0 0.15 0.4 HV
NRP16 1 22434.8 32.9 -17.8 0 0 -0.1 -0.2 HV
NRP15 1 23149.5 32.9 -17.8 0 0 -0.55 -0.25 HV
NRP14 1 23864.2 32.9 -17.8 0 0 0.1 0.15 HV
NRP13 1 24578.9 32.9 -17.8 0 0 0.4 -0.1 HV
NRP12 1 25293.6 32.9 -17.8 1.388 -0.8 0.45 -0.2 HV
NRP11 1 26008.3 32.9 -17.8 0 0 0.15 0.1 HV
NRP10 1 26723 32.9 -17.8 0 0 0.25 0.15 HV
NIP3 7 27158.8 14.6 24.8 -3.2 -1 0.05 -0.55 X
NIP1 2 27850.2 35.6 34.5 -3 0.1 0.35 1.25 X
NRP9 1 28867 32.9 -17.8 0 0 0.3 -0.05 HV
NRP8 1 29581.7 32.9 -17.8 0 0 -0.15 0.35 HV
NRP7 1 30296.4 32.9 -17.8 0 0 -0.15 0.3 HV
NRP6 1 31011.1 32.9 -17.8 0 0 -0.05 -0.1 HV
NRP5 1 31725.8 32.9 -17.8 0 0 0.15 0.3 HV
NRP4 1 32440.6 32.9 -17.8 0 0 0.25 -0.2 HV
NRP3 1 33155.3 32.9 -17.8 -2.3 0.7 0.75 0.05 HV
NRP2 1 33870 32.9 -17.8 0.89 -0.2 0.4 0.05 HV
NRP1 1 34584.7 32.9 -17.8 0 0 0.05 0.1 HV
NTP4 2 34937 35.4 34.7 -1.3 0.8 0.1 -0.25 X
NTP2 2 35603.7 -35 34.6 4 4 -1.6 -0.45 X
NTP0 2 36334.5 35.6 34.7 -0.3 1.5 -0.5 0.05 X
